app_id,day,model,feature,contribution
com.labpixies.flood,106,M1,crash_rate,-0.1804
com.labpixies.flood,106,M1,mau,0.0026
com.labpixies.flood,107,M1,stickiness,-0.8061
com.labpixies.flood,107,M1,dau,-12.3825
com.labpixies.flood,107,M1,crash_rate,-0.6068
com.labpixies.flood,107,M1,mau,-0.0001
com.labpixies.flood,108,M1,stickiness,-0.0784
com.labpixies.flood,108,M1,dau,0.0702
com.labpixies.flood,108,M1,crash_rate,5.7197
com.labpixies.flood,108,M1,mau,0.0003
com.labpixies.flood,109,M1,stickiness,-0.0862
com.labpixies.flood,109,M1,dau,0.0463
com.labpixies.flood,109,M1,crash_rate,0.1384
com.labpixies.flood,109,M1,mau,0.0013
com.labpixies.flood,110,M1,stickiness,-0.1164
com.labpixies.flood,110,M1,dau,-0.01
com.labpixies.flood,110,M1,crash_rate,0.2452
com.labpixies.flood,110,M1,mau,0.0005
com.google.flood2,0,M1,stickiness,27.9898
com.google.flood2,0,M1,dau,0.4182
com.google.flood2,0,M1,crash_rate,0.0004
com.google.flood2,0,M1,mau,-4.8891
com.google.flood2,1,M1,stickiness,10.776
com.google.flood2,1,M1,dau,2.4839
com.google.flood2,1,M1,crash_rate,-0.3884
com.google.flood2,1,M1,mau,-3.8474
com.google.flood2,2,M1,stickiness,5.025
com.google.flood2,2,M1,dau,1.9884
com.google.flood2,2,M1,crash_rate,-0.513
com.google.flood2,2,M1,mau,-3.2234
com.google.flood2,3,M1,stickiness,2.565
com.google.flood2,3,M1,dau,1.2351
com.google.flood2,3,M1,crash_rate,-0.4865
com.google.flood2,3,M1,mau,-2.756
com.google.flood2,4,M1,stickiness,1.1124
com.google.flood2,4,M1,dau,0.2993
com.google.flood2,4,M1,crash_rate,-0.2809
com.google.flood2,4,M1,mau,-2.3757
com.google.flood2,5,M1,stickiness,0.8127
com.google.flood2,5,M1,dau,0.4182
com.google.flood2,5,M1,crash_rate,-0.5024
com.google.flood2,5,M1,mau,-2.0772
com.google.flood2,6,M1,stickiness,5.4329
